from,to,start,end,duration,access
1,4,1588054915,1588055305,390,0
4,1,1588054915,1588055305,390,1
1,3,1588055605,1588056085,480,2
1,6,1588055665,1588056145,480,3
1,5,1588058155,1588058605,450,4
5,1,1588058155,1588058605,450,5
1,3,1588058455,1588058935,480,6
1,4,1588060825,1588061425,600,7
4,1,1588060825,1588061425,600,8
1,3,1588061335,1588061815,480,9
1,3,1588064215,1588064695,480,10
1,4,1588066885,1588067275,390,11
4,1,1588066885,1588067275,390,12
1,3,1588067065,1588067545,480,13
1,3,1588069945,1588070425,480,14
1,3,1588072795,1588073275,480,15
1,3,1588075675,1588076155,480,16
1,3,1588078555,1588079035,480,17
1,3,1588081405,1588081885,480,18
1,3,1588084285,1588084765,480,19
1,3,1588087165,1588087645,480,20
1,3,1588090015,1588090495,480,21
1,3,1588092895,1588093375,480,22
1,3,1588095775,1588096255,480,23
2,6,1588083235,1588083715,480,24
2,6,1588089175,1588089685,510,25
2,5,1588092235,1588092655,420,26
5,2,1588092235,1588092655,420,27
3,1,1588055605,1588056085,480,28
3,6,1588055695,1588056235,540,29
3,1,1588058455,1588058935,480,30
3,5,1588058815,1588059175,360,31
5,3,1588058815,1588059175,360,32
3,1,1588061335,1588061815,480,33
3,1,1588064215,1588064695,480,34
3,5,1588064635,1588065235,600,35
5,3,1588064635,1588065235,600,36
3,1,1588067065,1588067545,480,37
3,4,1588067335,1588067875,540,38
4,3,1588067335,1588067875,540,39
3,1,1588069945,1588070425,480,40
3,5,1588070725,1588071175,450,41
5,3,1588070725,1588071175,450,42
3,1,1588072795,1588073275,480,43
3,4,1588073305,1588073845,540,44
4,3,1588073305,1588073845,540,45
3,1,1588075675,1588076155,480,46
3,5,1588076905,1588077115,210,47
5,3,1588076905,1588077115,210,48
3,1,1588078555,1588079035,480,49
3,4,1588079455,1588079755,300,50
4,3,1588079455,1588079755,300,51
3,1,1588081405,1588081885,480,52
3,5,1588082935,1588083265,330,53
5,3,1588082935,1588083265,330,54
3,1,1588084285,1588084765,480,55
3,6,1588086445,1588086865,420,56
3,1,1588087165,1588087645,480,57
3,5,1588088845,1588089415,570,58
5,3,1588088845,1588089415,570,59
3,1,1588090015,1588090495,480,60
3,4,1588091635,1588091965,330,61
4,3,1588091635,1588091965,330,62
3,6,1588092355,1588092895,540,63
3,1,1588092895,1588093375,480,64
3,5,1588094845,1588095355,510,65
5,3,1588094845,1588095355,510,66
3,1,1588095775,1588096255,480,67
